Age,Gender,Frequency,Types of Meat,Purchase Place,Significance of Meat Source,Are you worried about the impact of meat consumption on the environment?,How often do you purchase from local farmers?,Do you want to decrease your meat consumption?,Reasons,Does anyone you know live in the countryside?,"Does anyone you know use ""tezek""?","How do you process ""tezek""?","Do you add other materials to ""tezek""?","How much did u save by using ""tezeks?",What do you feed your livestock?,Do you think feeding livestock leftovers decreases monthly expenditure?,Do you process leftovers before feeding livestock>,Do you know of other sustainable practices?,How often do you here of these practices from your relatives?,"Did you witness or help with these pratcies, how?",Are these practices taught at any seasons or festivals?,Who are responsible for dung and composting?,How are these practices passed to other generations?,Do you think these practices should be spread wider?,Would you support events and festivals to support these practices?,How can we spread these practices more?
18-25,Female,1,"Beef, Chicken, Horse",wet markets,2,0,2,0,1,1,1,2,0,23,1,1,0,24,3,Yes,1,2,1,1,0,Nothing An outdated tradition
26-35,Female,7,Beef,animal markets,3,0,3,2,1,1,1,1,2,0,1,2,1,Processing sheep skin a second time,2,No,0,4,1,1,2,Conducting “training” through village elders
18-25,Male,5,Beef,self owned lifestock,5,1,2,0,1,1,0,1,0,0,4,0,1,I don’t know,2,Yes,0,3,1,1,1,Through social networks
18-25,Female,7,"Beef, Chicken",supermarkets,5,1,3,1,2,0,0,1,0,5000,"1, 2, 4, 5",1,0,No,4,No,0,2,1,1,1,It is necessary to educate the population
18-25,Female,3,"Beef, Chicken, Lamb, Horse",wet markets,5,1,2,2,2,0,2,1,2,0,1; 2; 4,2,2,No,3,No,2,3,2,1,2,Raise awareness of benefits and problems
18-25,Female,3,"Beef, Chicken, Pork",supermarkets,2,2,1,0,0,0,0,1,2,0,1;2;4,2,1,Don’t know,2,No,0,1,2,2,2,Not sure
18-25,Female,3,"Beef, Chicken",wet markets,5,2,2,0,0,0,0,0,2,0,0,1,2,No,1,No,2,1,1,1,0,Yes
18-25,Female,1,"Beef, Chicken, Lamb, Horse",supermarkets,5,0,2,0,1,1,1,2,0,0,"1,2, 3, 4",2,0,I don’t know,1,Yes,1,2,1,1,1,"Social media, courses"
18-25,Female,3,"Beef, Chicken, Horse",supermarkets,2,0,0,0,0,0,1,1,1,0,"1, 4; 5",2,2,"Unfortunately, no",3,In childhood I observed and helped,2,2,1,2,1,Hold seasonal festivals where master classes on these practices will be held
18-25,Female,7,"Beef, Chicken, Lamb",wet markets,2,1,3,0,0,0,1,0,1,0,"4, 5",1,1,No,3,No,2,3,1,1,1,I don’t know
18-25,Male,7,"Beef, Chicken",supermarkets,2,2,0,0,1,0,1,1,2,5000,"1, 4",2,0,No,3,No,2,4,1,1,2,More publicity
0-18,Female,3,"Chicken, Horse",animal markets,5,2,3,0,0,1,1,1,2,0,"1, 4, 5",1,2,"Yes, in rural areas they use organic waste as fertilizer, use irrigation channels and rainwater collection methods to save water",3,No,2,3,1,2,2,"It can be widely promoted through information campaigns, organizing training sessions in rural areas, and providing government support"
18-25,Female,7,"Beef, Chicken, Lamb, Horse",self owned lifestock,5,1,2,0,1,1,0,1,0,0,4,2,0,.,1,No,2,3,1,1,1,.
18-25,Female,3,"Beef, Chicken",supermarkets,5,0,1,0,2,1,2,1,2,0,"1, 2, 3, 4, 5",2,2,I don’t know,1,I noticed myself,0,3,1,1,0,Through advertising
18-25,Female,3,"Beef, Chicken, Horse",animal markets,5,2,3,1,1,1,0,1,0,30-40%,4,2,1,No,3,Yes,0,2,2,2,1,-
18-25,Female,3,"Beef, Chicken",wet markets,4,2,3,0,1,0,0,1,1,30000,4,2,2,No,2,No,0,2,2,1,1,I don’t know
18-25,Female,3,"Beef, Chicken, Horse",supermarkets,5,0,3,0,0,1,2,0,2,0,"1,2,3,4,5",1,2,No,1,No,0,2,2,1,2,🤷🏻‍♀️🤷🏻
18-25,Male,7,"Beef, Chicken",supermarkets,5,1,2,2,1,0,1,1,2,500-1000,"1,4",2,2,No,3,No,2,3,1,2,2,I don’t know
36-45,Female,3,"Chicken, Lamb",supermarkets,5,1,2,1,"1, 2",1,0,1,1,400,"1, 4, 5",1,2,No,3,"Yes, helped in the village",0,1,1,1,2,"Remind people about the old practice, Organize events"
18-25,Female,3,Chicken,supermarkets,2,0,1,2,1,0,1,2,2,0,"2, 4, 5",1,1,"Depending on the status, they offer the organs of slaughtered cattle so that every part of the carcass is used",3,No,1,3,1,2,1,The only thing that comes to mind is to create art compositions and exhibitions for rethinking
18-25,Female,3,"Beef, Chicken",supermarkets,3,0,3,0,0,1,1,1,1,0,"3, 4, 5",0,1,I don’t recall,4,Yes,0,2,1,2,1,I don’t know
18-25,Female,3,"Beef, Chicken, Lamb, Horse",wet markets,4,2,3,0,0,1,1,1,2,0,"1, 2, 3, 4, 5",1,2,There are many traditions,3,.,0,4,2,1,1,.
18-25,Female,5,"Beef, Chicken, Lamb",supermarkets,4,1,1,1,2,0,0,1,2,0,"1, 2, 4",1,0,-,3,No,0,3,1,0,0,"Festivals, teaching"
18-25,Female,3,"Beef, Chicken",wet markets,3,0,1,0,0,1,1,1,0,0,"1, 4",2,2,No,1,In childhood they dried manure,0,3,1,2,0,No idea
18-25,Female,3,"Beef, Chicken, Pork",supermarkets,4,2,1,0,0,0,1,1,1,0,"1, 2, 3, 4",2,2,No,2,I noticed,0,3,1,2,0,Educational videos or magazines
18-25,Female,3,"Beef, Chicken, Fish",supermarkets,4,1,1,0,2,0,1,1,2,20000,"1, 4, 0",1,1,No,2,No,2,4,1,1,1,Upload appropriate content on the Internet
18-25,Female,7,"Beef, Chicken, Lamb",self owned lifestock,5,2,3,1,1,1,1,1,0,0,"1, 4",0,0,No,1,Yes,0,3,1,2,2,Popularize and talk about the advantages
36-45,Female,7,Beef,from farmers,1,2,3,0,1,1,1,1,1,95%,4,1,1,No,1,No,0,2,1,1,0,Possible only if you have one or two cows
18-25,Female,1,"Beef, Chicken, Lamb",supermarkets,4,2,2,1,1,1,1,1,1,0,"1, 4",1,0,No,2,No,0,2,1,2,0,Distribution through media and social networks
18-25,Female,1,"Beef, Chicken, Lamb, Horse",wet markets,4,0,2,0,1,1,1,1,0,0,4,0,2,No,4,Yes,1,3,1,1,0,Teach from generation to generation
0-18,Male,5,"Beef, Chicken, Horse",wet markets,3,2,3,2,2,1,0,1,2,0,4,2,1,Cutting the animal’s throat and draining its blood before butchering,4,"Yes, in meat processing",1,3,1,2,1,Widespread use instead of coal when possible
18-25,Male,5,"Beef, Chicken",wet markets,4,0,3,0,1,1,1,1,1,0,"1, 4, 5",2,1,?,1,Yes,2,3,1,2,0,?
36-45,Female,5,"Beef, Chicken, Lamb, Horse",supermarkets,3,2,2,2,1,1,1,1,0,0,"1, 2, 3, 4",1,0,No,3,No,0,3,1,1,1,Writing
36-45,Female,3,Beef,animal markets,5,1,2,0,1,1,1,1,1,0,1,2,2,No,4,No,2,3,1,1,0,I don’t know
46-60,Male,7,"Beef, Chicken, Lamb, Horse",supermarkets,5,0,2,0,1,1,1,1,0,1000,4,1,1,Yes,5,Yes,2,3,1,1,1,Internet
26-35,Female,3,"Beef, Chicken, Pork, Horse",supermarkets,3,1,2,1,2,0,0,1,2,0,0,1,2,No,1,No,2,3,0,1,0,I don’t know
36-45,Female,7,"Beef, Chicken, Horse",animal markets,4,0,1,0,2,1,1,1,0,0,"1, 4",0,1,It’s unclear which practices you mean,5,Yes,0,2,1,2,1,"Social media, trainings, video materials on YouTube"
36-45,Female,1,Beef,self owned lifestock,5,1,2,1,2,0,1,1,0,3000,"3, 4",0,1,No,4,I noticed,0,1,1,1,1,"In villages, they can process it and sell it as ready fuel in special facilities"
36-45,Female,5,"Beef, Chicken",wet markets,4,0,2,2,1,0,1,1,2,5000,"1, 4",2,2,No,3,No,2,3,1,2,2,Training videos at practice sites
36-45,Female,5,"Beef, Chicken",supermarkets,5,2,2,2,1,0,0,1,2,0,4,2,2,No,1,No,2,3,2,1,0,Trainings and seminars
36-45,Female,7,"Beef, Chicken, Lamb",wet markets,5,2,2,1,2,1,1,1,0,2000,"1, 4",0,0,No,4,Myself,0,3,1,1,2,Through advertising
36-45,Female,7,"Beef, Chicken, Lamb, Horse",wet markets,5,2,2,0,2,1,2,1,2,500,4,0,2,No,2,Yes,2,3,1,2,0,Didn’t think about it
36-45,Female,5,"Beef, Chicken",self owned lifestock,4,2,3,1,1,1,1,1,0,20000-30000,"1, 4",0,1,"In winter, they cook potatoes and feed for livestock in a large pot and give them salt",4,"When I was little, I helped: making dung fuel, feeding and caring for livestock",0,3,2,2,0,"In villages it’s a common thing, but for city residents it’s probably unnecessary"
36-45,Female,3,"Beef, Chicken",self owned lifestock,5,2,2,0,1,1,1,1,2,0,4,0,0,No,1,No,0,3,2,2,2,I don’t know
36-45,Female,1,"Beef, Chicken, Lamb, Horse",supermarkets,5,2,2,0,1,1,0,1,1,0,"1, 2, 3, 4",1,2,No,1,No,2,4,1,2,0,Through Internet and village councils
46-60,Male,7,"Beef, Chicken, Lamb, Horse",wet markets,5,0,3,0,1,1,0,1,1,0,4,1,0,No,1,Yes,0,2,1,0,1,Education of the population
