Эт азыктарын керектөө copy
"Сиздин жаш курактагы тобыңуз кайсы? 
(К какой возрастной группе вы относитесь?)","Сиздин жынысыңыз кайсы?﻿
(Ваш пол?)","Сиз жумасына канча күн эт жейсиз? 
(Сколько дней в неделю вы употребляете мясо?)","Кайсы эт түрлөрүн адатта жейсиз?﻿ 
(Какие виды мяса вы обычно употребляете?﻿)","Этти негизи каяктан аласынар?
(Какой ваш основной источник мяса?","Эттин булагы (мисалы, жергиликтүү, органикалык, фермада өстүрүлгөн) сиздин сатып алуу чечимиңизде канчалык маанилүү?﻿ 
(Насколько важен источник мяса (например, местное, органическое, фермерское) при принятии решения о покупке?﻿)","Эт керектөөнүн айлана-чөйрөгө тийгизген таасири жөнүндө тынчсызданасызбы?﻿ 
(Вас беспокоит влияние потребления мяса на окружающую среду?﻿)","Жергиликтүү фермерлерден же өндүрүүчүлөрдөн этти канчалык тез-тез сатып аласыз?﻿ 
(Как часто вы покупаете мясо у местных фермеров или производителей?﻿)","Эт керектөөнү азайтууну ойлонуп көрөсүзбү?﻿ 
(Вы рассматриваете возможность сократить потребление мяса?﻿)","Сиз эт керектөөнү азайтууну ден соолук же айлана-чөйрө үчүн ойлонуп жатасызбы?﻿ 
(Вы рассматриваете сокращение потребления мяса по причинам, связанным со здоровьем или окружающей средой?﻿)","Сиз же жакын туугандарыңыз Кыргызстанда айылда же фермада жашайбы?﻿ 
(Вы или ваши близкие родственники живёте в деревне или на ферме в Кыргызстане?﻿)","Сиз билген үй-бүлө кышында жылытуу же тамак бышыруу үчүн тезек колдонобу?﻿ 
(Использует ли знакомое вам хозяйство навоз скота как топливо для отопления или приготовления пищи зимой?﻿)","Тезек колдоноoрдон мурун кантип иштетишет?﻿
(Как обрабатывают навоз животных перед использованием в качестве топлива?﻿)","Тезек жасап жатканда башка материалдар (мисалы, саман) менен аралаштырасынарбы?﻿ 
(Смешивает ли хозяйство навоз с другими материалами (например, соломой) при формировании топливных лепёшек?﻿)","Тезекти отун катары колдонгондо жыгач же көмүргө салыштырмалуу болжолдуу канча акча үнөмдөйт? (Сумманы сом менен көрсөтүңүз)﻿ 
(Какова предполагаемая экономия средств при использовании навоза в качестве топлива вместо дров или угля? (Укажите сумму в сомах)﻿)","Малдарга эмне тамак беришет?﻿ 
(Чем кормят скот?﻿)","Тамак-аш калдыктарын малга берген үчүн үй-бүлөнүн чыгымдары азайат деп ойлойсузбу?﻿
 (Считаете ли вы, что кормление скота пищевыми отходами снижает расходы на корм в хозяйстве?﻿)","Тамак-аш калдыктарын малга берерден мурун атайын иштетүү (мисалы: майдалоо, ачытуу) жүргүзүлөбү?﻿ 
(Применяются ли специальные методы обработки (например, измельчение, ферментация) кухонных отходов перед кормлением скота?﻿)","Кыргызстанда колдонулган башка туруктуу салттуу тажрыйбаларды билесизби?﻿ 

(Знаете ли вы о других устойчивых традиционных практиках, применяемых в Кыргызстане?﻿)","Эгер сиз шаарда жашасаңыз, бул тажрыйбалар тууралуу туугандарыңыздан канчалык көп угасыз?﻿
 (Если вы живёте в городе, как часто вы узнаёте об этих практиках от родственников?﻿)","Сиз ушул салттуу тажрыйбаларды өзүңүз байкадыңызбы же жардам бердиңизби? (Ооба/Жок; кайсынысын көрсөтүңүз)﻿ 
(Вы лично наблюдали или помогали в традиционных практиках? (Да/Нет; укажите, каких)﻿)","Бул тезек, калдыктарды колдонуу, же башка туруктуу тажрыйбалар белгилүү учурларда же майрамдарда үйрөтүлөбү?﻿
(Обучают ли этим практикам использования навоза и отходов или другим устойчивым практикам в определённые сезоны или на фестивалях?﻿)","Үй-бүлөдө тезек же компост жасоону ким көзөмөлдөйт?﻿
(Кто в семье обычно отвечает за изготовление тезеков или компоста?﻿)","Бул тажрыйбалар кантип муундан муунга өткөрүлөт?﻿
(Каким образом эти навыки передаются из поколения в поколение?﻿)","Бул тажрыйбаларды кеңири жайылтуу керек деп ойлойсузбу?﻿

(Считаете ли вы, что эти практики следует продвигать для более широкого применения?﻿)","Tезек жасоо, компост жасоо, же башка салттуу туруктуу тажрыйбалар боюнча үйронүү үчүн семинарларга катышууну же колдонгонду үйронүүнү каалайт белеңиз?﻿ 

(Хотели бы вы изучать или поддерживать общественные мастер-классы по производству топлива из навоза, компостированию или другим традиционным устойчивым практикам?﻿)","Сиздин оюңузча, тезек жана калдыктарга негизделген салттуу жана туруктуу тажрыйбаларды Кыргызстан боюнча кантип кеңири жайылтса болот?﻿ 
(Как вы считаете, как можно масштабировать традиционные устойчивые практики, основанные на навозе и отходах, по всему Кыргызстану?﻿)"
,,1-2 күн (1-2 дня),Уй эти (говядина);Тоок эти (курица);Жылкы эти (конина),базарлар (местные рынки),2,Жок (Нет),Кээде (иногда),Жок (нет),Ден соолук (здоровье),Ооба (да),Ооба (да),Компосттоо (компостирование),Жок (нет),23,Жашылча же жемиш кабыктары (овощные или фруктовые очистки ),Ооба (да),Жок (нет),24,3,да,Ооба (да),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Жок (нет),"ничем
устаревшая традиция "
26-35,Аял (женский),күн сайын (eжедневно),Уй эти (говядина),мал базар (скотный рынок),3,Жок (Нет),Дайыма (регулярно),Балким (возможно),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Балким (возможно),Билбейм,Жашылча же жемиш кабыктары (овощные или фруктовые очистки ),Балким (возможно),Ооба (да),Койдун терисин экинчи ирет иштетуу,2,Жок,Жок (нет),Жаштар  (молодёжь ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Балким (возможно),Айыл кемп аркылуу “обучение” откозуу
18-25,Эркек (мужской),5-6 күн (5-6 дня),Уй эти (говядина),уйдо остурулгон жaныбарлар (домашние),5,Ооба (Да),Кээде (иногда),Жок (нет),Ден соолук (здоровье),Ооба (да),Жок (нет),Кургатуу (сушка),Жок (нет),Так билбейм,чөп жана буудай  (сено и пшеница ),Жок (нет),Ооба (да),Билбейм,2,Ооба,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),Соц.тармактар аркылуу 
18-25,Аял (женский),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица),супермаркеттер (супермаркеты),5,Ооба (Да),Дайыма (регулярно),Ооба (да),Айлана-чөйрө (окружающая среда),Жок (нет),Жок (нет),Кургатуу (сушка),Жок (нет),5000,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Ооба (да),Жок (нет),Жок,4,Жок,Жок (нет),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),Нужно обучать население 
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),базарлар (местные рынки),5,Ооба (Да),Кээде (иногда),Балким (возможно),Айлана-чөйрө (окружающая среда),Жок (нет),Балким (возможно),Кургатуу (сушка),Балким (возможно),Не знаю честно,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Балким (возможно),Балким (возможно),Нет,3,Нет,Балким (возможно),Эркектер  (мужчины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Ооба (да),Балким (возможно),Освящать пользу и проблемы 
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Чочконун эти (свинина),супермаркеттер (супермаркеты),2,Балким (Возможно),Сейрек (редко),Жок (нет),Не рассматриваю,Жок (нет),Жок (нет),Кургатуу (сушка),Балким (возможно),Не знаю ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Балким (возможно),Ооба (да),Не знаю ,2,Нет,Жок (нет),Карылар (пожилые),Kөзөмөлдөө (байкоо)  (наблюдение ),Балким (возможно),Балким (возможно),Не уверена 
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица),базарлар (местные рынки),5,Балким (Возможно),Кээде (иногда),Жок (нет),я не рассматриваю сокращение потребления мяса,Жок (нет),Жок (нет),не знаю ,Балким (возможно),не знаю ,"у меня нет скота, я не знаю ",Ооба (да),Балким (возможно),нет,1,нет,Балким (возможно),Карылар (пожилые),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Жок (нет),да
18-25,Аял (женский),1-2 күн (1-2 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),супермаркеттер (супермаркеты),5,Жок (Нет),Кээде (иногда),Жок (нет),Ден соолук (здоровье),Ооба (да),Ооба (да),Компосттоо (компостирование),Жок (нет),Билбейм ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Балким (возможно),Жок (нет),Билбейм ,1,Да,Ооба (да),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),"Соц сети, курсы"
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Жылкы эти (конина),супермаркеттер (супермаркеты),2,Жок (Нет),Эч качан (никогда),Жок (нет),"Не рассматриваю, тк по состоянию здоровья мне нужно увеличить употребление мяса ",Жок (нет),Ооба (да),Кургатуу (сушка),Ооба (да),Не знаю ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Балким (возможно),Балким (возможно)," К сожалению, нет",3,В детстве я наблюдала и помогала ,Балким (возможно),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Ооба (да),"Проводить сезонные фестивали, на которых будут проходить мастерклассы по данным практикам "
18-25,Аял (женский),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина),базарлар (местные рынки),2,Ооба (Да),Дайыма (регулярно),Жок (нет),Не рассматриваю,Жок (нет),Ооба (да),Не знаю,Ооба (да),Не знаю ,чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Ооба (да),Ооба (да),Нет,3,Нет,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),Не знаю 
