,Frequency,Significance of Meat Source,Are you worried about the impact of meat consumption on the environment?,How often do you purchase from local farmers?,Do you want to decrease your meat consumption?,Does anyone you know live in the countryside?,"Does anyone you know use ""tezek""?","How do you process ""tezek""?","Do you add other materials to ""tezek""?","How much did u save by using ""tezeks?",Do you think feeding livestock leftovers decreases monthly expenditure?,Do you know of other sustainable practices?,How often do you here of these practices from your relatives?,"Did you witness or help with these pratcies, how?",Are these practices taught at any seasons or festivals?,Who are responsible for dung and composting?,How are these practices passed to other generations?,Do you think these practices should be spread wider?,Would you support events and festivals to support these practices?,Reasons_0.0,Reasons_1.0,Reasons_2.0,Reasons_nan,What do you feed your livestock?_0.0,What do you feed your livestock?_1.0,What do you feed your livestock?_4.0,What do you feed your livestock?_nan,Meat_Beef,Meat_Chicken,Meat_Fish,Meat_Horse,Meat_Lamb,Meat_Pork,Meat_nan
Frequency,1.0,-0.010991236366389996,-8.768316229765607e-18,0.14340333374448533,0.09629500128629348,-5.623855044801858e-17,-0.011396928338377924,-0.22360679774997896,-0.029648056241230097,,0.016463472245165943,,0.03168496501298378,,0.01375591834096821,0.21906675155232422,-0.07202769107260082,-0.15153203133905097,0.2276947068292811,-0.22484562605386735,0.06329621044272912,0.10232343558582002,0.05429406786186371,-0.13165611772087665,-0.08144110179279561,0.19978058139307323,-0.09201218050333443,0.17176596315711334,-0.07017294652672357,-0.09217771979249532,-0.09107288747664331,0.09201218050333444,-0.1628822035855911,-6.022187504336298e-17
Significance of Meat Source,-0.010991236366389996,1.0,-0.0011671469600083328,0.20892110536349554,0.00871624451797219,0.15357192722141444,-0.024169033703222213,-0.14746291003209447,-0.07897526065174704,,-0.09026407047040291,,-0.10406736786882317,,-0.05087251915034023,0.09316510798867073,0.14455024492783855,-0.10249380760164449,0.04710863702845167,-0.22013540396818532,0.08315704327458372,0.028730837325111596,0.1404138666264851,-0.0034048553151797404,-0.14743455995780927,0.21552403116631072,-0.12577856170240748,-0.05219544360925971,-0.03992546757559482,-0.0023838755434215844,0.055181376733905746,0.22980083165088508,-0.2190456319373166,0.0
Are you worried about the impact of meat consumption on the environment?,-8.768316229765607e-18,-0.0011671469600083328,1.0,0.13874252253097474,0.09373335848038725,-0.04544647683897571,-0.26382947111624155,-0.2018287003405367,0.10389368761019245,,-0.13286604996569895,,-0.026916724823392527,,0.01460725412372906,0.0017231444896107393,0.2294561718157633,0.16833677276563172,0.04119324435105874,0.023876102757866894,-0.024196870824018515,0.06519365945770378,-0.10954308766022348,0.1048531069040802,-0.21332074965411935,0.11213364834293092,-0.04187429739930643,0.01823963338144142,0.08941903001624518,-0.009788247823082878,-0.10223551324828938,0.08933183445185365,0.17872819565615408,-3.623772590808396e-17
How often do you purchase from local farmers?,0.14340333374448533,0.20892110536349554,0.13874252253097474,1.0,0.0992805661968785,0.41216477481734387,-0.10511162077644895,-0.21377306830183915,-0.06002301323345501,,-0.1722080493034456,,-0.028509675999619004,,-0.16864176927096464,-0.060229006943261054,0.13285943588733562,-0.044574766078140995,0.0436310902432371,-0.036127296755171553,0.21642147667666511,-0.1545446551955626,-0.1160259265449969,-0.014807785246298142,0.08549278798052395,0.1733397058841035,-0.19515077340780174,0.01931906803181381,-0.03946288027688495,-0.1866154209205958,0.14047898544281862,0.14488466510579215,-0.2259452253770993,-7.676460129388512e-17
Do you want to decrease your meat consumption?,0.09629500128629348,0.00871624451797219,0.09373335848038725,0.0992805661968785,1.0,-0.1757575757575758,-0.049063240826056675,0.1435481125130547,0.13770981666976426,,0.009325588711912377,,0.2620359688326425,,-0.05610181444253689,0.11213917389746646,0.06201516493421722,0.04489777585448792,0.21209330646255967,-0.36389092184999416,0.13194117582870826,0.1887846775116664,-0.018452637651516265,-0.02237263416225925,0.024603516868688346,-0.0678983694431381,0.059565129680156384,-0.21891445998294257,-0.05962327037694581,-0.1044265134821876,-0.18866261656115274,-0.00893476945202344,-0.07996142982323716,0.0
Does anyone you know live in the countryside?,-5.623855044801858e-17,0.15357192722141444,-0.04544647683897571,0.41216477481734387,-0.1757575757575758,1.0,0.18075930830652456,0.11962342709421223,-0.3470735216880237,,-0.3263956049169334,,0.015953483642778765,,-0.2883009908852588,0.03370303040634232,-0.04351941398892468,0.07482962642414656,-0.11464503052030259,-0.15162121743749749,0.25814577879529876,-0.1324804754467834,-0.051257326809767474,-0.273443306427613,0.18452637651516254,0.17782906282726638,-0.14394906339371136,-0.05675560073631825,-0.0529984625572851,-0.1914486080506773,0.33900313913332136,0.31271693082082097,-0.33829835694446475,-3.221703074868693e-17
"Does anyone you know use ""tezek""?",-0.011396928338377924,-0.024169033703222213,-0.26382947111624155,-0.10511162077644895,-0.049063240826056675,0.18075930830652456,1.0,-2.829326384213494e-17,0.09699624994618082,,-0.10948938192470431,,0.0781699702598661,,0.03910158317511248,0.19842958768731436,0.07571543951647894,0.14878766664590806,0.08412614688585625,0.08441339487687316,-0.1317159347334539,0.12386911751791535,-0.09026989938466534,-0.2895034771667255,0.08735796714645029,-0.2540927092053997,0.30737083372781043,0.025333703651547013,-0.0357537995630589,0.04943731138212482,0.06559153625627125,0.05216844425655501,-0.20965912115148075,-2.745377577087836e-17
"How do you process ""tezek""?",-0.22360679774997896,-0.14746291003209447,-0.2018287003405367,-0.21377306830183915,0.1435481125130547,0.11962342709421223,-2.829326384213494e-17,1.0,-0.19888520746838229,,0.07362688617174394,,0.09446631417831276,,-0.06151833700668176,0.07257009601200805,-0.12884705080055198,0.1042572070285374,-0.07542827297587533,-0.4309458036856674,0.3396831102433787,3.62887747884851e-18,5.054507916967568e-18,-0.2943920288775949,0.24281045302822785,-1.417034618468289e-17,1.3052764606530325e-17,-0.19204018492001482,3.7018931482149565e-17,0.0,0.11636866703140786,0.0,-1.6848359723225226e-18,0.0
"Do you add other materials to ""tezek""?",-0.029648056241230097,-0.07897526065174704,0.10389368761019245,-0.06002301323345501,0.13770981666976426,-0.3470735216880237,0.09699624994618082,-0.19888520746838229,1.0,,0.31296461567362555,,-0.28071411373578165,,0.2787680656492263,0.2513060650587765,0.08240444467736761,0.05529390999985264,0.15707523847778793,0.20614913968041962,-0.18103763268134962,0.07749933242062694,-0.10415793736982766,0.22501653076686773,-0.011362684076708473,-0.1801818773548899,0.08161022686294318,-0.06440548772014118,0.20437769099682465,0.15754308330496042,-0.08259233686932618,-0.22190645955991278,0.18180294522733545,-3.5709230764759154e-17
"How much did u save by using ""tezeks?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
